time_s,log_time_s,sample_time_us,log_time_us,state,lagged,pressure_pa,temperature_c,baro_altitude_rel_m,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
74.428218,74.431318,1196589256,1196592356,fresh,False,80310,24.75,1574.5169251302846,1570.8751462187963,-55.28155438059184,-1.9003315198614168,2.1503315198614166
74.448741,74.452799,1196609779,1196613837,fresh,False,80292,24.76,1576.3406586803471,1569.7181240254536,-60.091795336222276,-2.1273624830469227,2.3773624830469227
74.469485,74.474273,1196630523,1196635311,fresh,False,80367,24.75,1568.7439515461704,1568.3936872561071,-65.45604154250759,-2.380541064787541,2.630541064787541
74.490724,74.495725,1196651762,1196656763,fresh,False,80343,24.75,1571.17427305458,1566.9684708157683,-69.269120709876,-2.5605085641405503,2.8105085641405503
74.512025,74.517182,1196673063,1196678220,fresh,False,80392,24.74,1566.2129914572483,1565.4467099626168,-72.92824819033558,-2.7332099410507666,2.9832099410507666
74.53539,74.538652,1196696428,1196699690,fresh,False,80414,24.74,1563.9862736934822,1563.7046200892487,-76.89766473910277,-2.92055616147165,3.17055616147165
74.557247,74.560172,1196718285,1196721210,fresh,False,80417,24.73,1563.682668581359,1561.9760672103264,-80.15778410773055,-3.0744253849027423,3.3244253849027423
74.577784,74.581619,1196738822,1196742657,fresh,False,80450,24.76,1560.3436174784206,1560.309158552576,-84.93883936256316,-3.300078858306657,3.550078858306657
74.598313,74.603083,1196759351,1196764121,fresh,False,80455,24.75,1559.8377973949982,1558.4880291847762,-89.35717297466181,-3.508612805957557,3.758612805957557
74.619276,74.624551,1196780314,1196785589,fresh,False,80462,24.74,1559.1296920376267,1556.600983123443,-73.98812728297344,-2.7832334998456956,3.0332334998456956
74.656403,74.667479,1196817441,1196828517,fresh,False,80547,24.75,1550.5352476457758,1554.9080601418887,-53.25216530532634,-1.8045495911211578,2.054549591121158
74.68448,74.688939,1196845518,1196849977,fresh,False,80560,24.75,1549.2214507461808,1553.250381586747,-71.04946804675274,-2.644536365330585,2.894536365330585
74.705367,74.710428,1196866405,1196871466,fresh,False,80564,24.73,1548.8172400823112,1551.5797724239587,-80.66842438277672,-3.098526288486241,3.348526288486241
74.726818,74.731906,1196887856,1196892944,fresh,False,80565,24.73,1548.7161899554105,1549.834258470109,-74.62917798535636,-2.81348943915418,3.06348943915418
74.748316,74.753396,1196909354,1196914434,fresh,False,80606,24.74,1544.5740089071412,1548.3751583922613,-67.05729763442287,-2.4561162212521386,2.7061162212521386
74.771765,74.774881,1196932803,1196935919,fresh,False,80632,24.74,1541.9481438070632,1546.8235550211448,-65.05128272163711,-2.3614374926780206,2.6114374926780206
74.793107,74.796332,1196954145,1196957370,fresh,False,80633,24.74,1541.8471626878315,1545.4569468235863,-62.48201305567636,-2.2401745928925934,2.4901745928925934
